run_id,video,start,end,hoop_config,model,imgsz,confidence,tracker,possession_dist_px,upward_trigger,made_window,hoop_pad
145,1v1-ddg.mp4,929.42,990.54,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,640,0.25,bytetrack.yaml,200.0,-12.0,45,14
146,1v1-ddg.mp4,929.42,990.54,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,640,0.25,bytetrack.yaml,200.0,-16.0,30,8
147,1v1-ddg.mp4,929.42,990.54,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,640,0.35,bytetrack.yaml,200.0,-8.0,60,20
148,1v1-ddg.mp4,929.42,990.54,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,640,0.35,bytetrack.yaml,200.0,-12.0,45,14
149,1v1-ddg.mp4,929.42,990.54,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,640,0.35,bytetrack.yaml,200.0,-16.0,30,8
150,1v1-ddg.mp4,929.42,990.54,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,1280,0.25,bytetrack.yaml,200.0,-8.0,60,20
151,1v1-ddg.mp4,929.42,990.54,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,1280,0.25,bytetrack.yaml,200.0,-12.0,45,14
152,1v1-ddg.mp4,929.42,990.54,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,1280,0.25,bytetrack.yaml,200.0,-16.0,30,8
153,1v1-ddg.mp4,929.42,990.54,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,1280,0.35,bytetrack.yaml,200.0,-8.0,60,20
154,1v1-ddg.mp4,929.42,990.54,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,1280,0.35,bytetrack.yaml,200.0,-12.0,45,14
155,1v1-ddg.mp4,929.42,990.54,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,1280,0.35,bytetrack.yaml,200.0,-16.0,30,8
156,1v1-ddg.mp4,929.42,990.54,experiments/demo/hoop_configs/1v1-ddg.json,yolov8l.pt,640,0.25,bytetrack.yaml,200.0,-8.0,60,20
